ID,Author,/,w_W,h_H,e_E,u_U
24807,"Becke, Louis",0.01050080775444265,0.033626794044276404,0.03177465121778198,0.02946562483612145,0.023613923215961896
2482,"Cooper, James Fenimore",0.0044426494345718905,0.009642813195664091,0.012296051075904469,0.014349992133829774,0.010511453993964642
24831,"Abbott, Jacob",0.012924071082390954,0.03654648574273154,0.03438418403540182,0.03119618228538465,0.02351307531786482
24835,"Becke, Louis",0.01009693053311793,0.09262470215788708,0.08894368813971558,0.08376527348051811,0.06863087342037283
24836,"Becke, Louis",0.01009693053311793,0.10082444934167104,0.10455865959531127,0.09315013896900727,0.0739525394276494
24837,"Becke, Louis",0.01009693053311793,0.011611647444430773,0.011122183562476776,0.010582621007918609,0.009130613543096959
24838,"Becke, Louis",0.01009693053311793,0.036378687369257104,0.03688393068270108,0.0339839530127432,0.028229653936558918
24840,"Wells, Carolyn",0.012520193861066236,0.010694349669437204,0.009445833192581831,0.010351880014683516,0.009239218971816893
24866,"Optic, Oliver",0.0117124394184168,0.08623717740762699,0.10476134175590313,0.1010876291362945,0.07242430589494753
24895,"Becke, Louis",0.01009693053311793,0.10424753616054948,0.09307755970678648,0.09372699145209502,0.07601604257332806
24896,"Becke, Louis",0.01009693053311793,0.0738424708869822,0.07640272945309598,0.0665142377681053,0.05556719185148984
24898,"Ward, Humphry, Mrs.",0.0117124394184168,0.3377221930128757,0.3677625578488667,0.3406827835754365,0.27052060788009963
2493,"Burgess, Thornton W. (Thornton Waldo)",0.004038772213247175,0.019095454901390488,0.01781069486200723,0.01458492841785096,0.013490345753139862
2495,"Harte, Bret",0.009693053311793216,0.05517210519839361,0.06183494916055805,0.059310923488384286,0.05140139790701824
24952,"Becke, Louis",0.01009693053311793,0.00973230566151712,0.009559841907914738,0.009200272693901095,0.008013529133406255
24953,"Becke, Louis",0.01009693053311793,0.010705536227668832,0.011557105698746748,0.010463055220514971,0.008975462930639921
24954,"Becke, Louis",0.01009693053311793,0.006700748380745696,0.005962233557409722,0.006152393937804814,0.004770881333054063
24993,"Abbott, Jacob",0.012520193861066236,0.037072253979618094,0.03474732290646218,0.029954376212701236,0.02379234642028749
24995,"Becke, Louis",0.01009693053311793,0.003266475003635632,0.0034793770901597808,0.0034778960616707747,0.0026685905342611342
24996,"Becke, Louis",0.01009693053311793,0.01213741568131733,0.011949802384893423,0.010979075987204365,0.009611580441713794
24997,"Becke, Louis",0.01009693053311793,0.006264472609712171,0.005911563017261763,0.006209030363417065,0.0046312457818427225
24998,"Becke, Louis",0.01009693053311793,0.017327978700793126,0.015661419450731344,0.015847710944464837,0.013645496365596902
24999,"Becke, Louis",0.01050080775444265,0.052990726343225984,0.046215755159949995,0.04440715297079029,0.0381515356031868
25001,"Trollope, Anthony",0.012520193861066236,0.09151723289295582,0.09665827787724217,0.07451465729718391,0.07224588269062192
